meal,description,servings_size,calories,carbs,protein,fat,sodium
Quick Oats,Quaker,1/2 cup dry,150,27,5,3,0
Grits,Quaker Old Fashioned,1/4 cup,140,32,3,0.5,0
Brown Rice Crisp Cereal,Barbara's,1 1/3 cup,160,35,3,1,125
Whole Wheat Tortilla,Mission,1 tortilla,110,22,4,2,380
Wheat Sandwich Thin,Orowheat,1 bun,140,28,6,2,300
Cauliflower Rice,Birds Eye; About 3.5 servings per container,2/3 cup cooked,25,4,2,0,0
Long Grain Rice,Great Value,1/4 cup dry,160,36,3,0,0
Couscous,Rice Select,1/4 cup dry,200,41,7,0.5,0
Quinoa,White - Great Value,1/4 cup dry,170,29,6,2.5,0
Triscuits,Balsamic Vinegar and Basil,6 crackers (28 g),120,20,3,3.5,120
Apple,Medium,1 medium,95,25,0.5,0.3,2
Asparagus,medium,1 spear,3,0.6,0.4,0,0.3
Blueberries,Fresh Blueberries,1 cup,85,21,1.1,0.5,1
Banana,Medium,1 medium,105,27,1.3,0.4,1
Clementines,Cuties,2 clementines,90,22,1,0.5,0
Dried Cranberries,,1/4 cup (40 g),140,34,0,0,0
Carrot,Large,1 large (78g/2.75oz),30,7,1,0,60
Corn,1 can; No Salt Added; Great Value,1/2 cup,60,13,1,1,10
Frozen Corn,Great Value - 2 lb,2/3 cup (90 g),80,16,2,1,0
Cilantro,16 grams,1 cup,4,0.6,0.3,0.1,0
Cucumber,Large,1 large,34,6,1.6,0.4,6
Grapes,1 cup,1 cup,104,27,1,0.2,3
Lemon Juice,ReaLemon,1 tsp.,0,0,0,0,0
Lime Juice,ReaLime,1 tsp.,0,0,0,0,0
Portobello Mushroom,large cap,1 large cap,22,4,2,0,9
Radish,100 g,100 g,16,3.4,0.7,0.1,39
Red Bell Pepper,medium,1 medium,32,7.6,1,0.2,4
Green Bell Pepper,medium,1 medium,32,7.6,1,0.2,4
Jalapeno Peppers,Mezzetta - Jarred,1/4 cup (30 g),5,1,0,0,380
Red Onion,Chopped,1 cup,67,16.18,1.47,0.13,5
Romaine Lettuce,Chopped,1 cup,8,1.6,0,0.1,4
Yellow Onion,Chopped,1 cup,64,14.9,1.8,0.2,6.4
Roma Tomato,medium,1 medium,18,3.5,0.5,0.3,3
Baked Potato,"large; baked, flesh, and skin",1 large (300 g),279,63.2,7.5,0.4,30
Sugar Snap Peas,Walmart Organic,3 oz.,35,6,2,0,0
Sweet Potatoe,Large; Baked,1 large,167,37.3,4,0.2,0
Spinach,Raw,1 cup,7,1.1,0.9,0.1,23.7
Frozen Strawberries,Great Value,1 cup,50,13,1,0,0
Peaches,Frozen,100 g,39,10,0.9,0.3,0
Honey,Organic Raw - Kirkland/Great Value,1 Tbsp,60,17,0,0,0
Ketchup,Great Value,1 Tbsp,20,5,0,0,160
Mustard,Heinz and Great Value,1 Tbsp,0,0,0,0,60
Jalapeno Honey Mustard,Tagge's Famous Fruit and Veggie Farms,1 Tbsp,15,3,0,0,120
Celery,1 medium stalk,1 medium,6,1.2,0.3,0.1,32
Broccoli,Steamed,1 cup,31,6,2.6,0.3,30
Frozen Broccoli,Frozen - Birds Eye',1 1/3 cup,30,4,1,0,0
Diced Green Chiles,Ortega; Mild; 7 oz.,2 tbsp,10,2,1,0,120
Minced Garlic,Spice World; Preminced; 1/2 tsp approx. 1 clove fresh,1 tsp,5,1,0,0,0
Green Chile Enchilada Sauce,Old El Paso - Mild,1/4 cup,25,4,0,1.5,280
