"id";"food";"description";"serving_size";"calories";"carbs";"protein";"fat";"sodium"
1;"Quick Oats";"Quaker";"1/2 cup dry";150.0;27.0;5.0;3.0;0.0
2;"Grits";"Quaker Old Fashioned";"1/4 cup";140.0;32.0;3.0;0.5;0.0
3;"Brown Rice Crisp Cereal";"Barbara's";"1 1/3 cup";160.0;35.0;3.0;1.0;125.0
4;"Whole Wheat Tortilla";"Mission";"1 tortilla";110.0;22.0;4.0;2.0;380.0
5;"Wheat Sandwich Thin";"Orowheat";"1 bun";140.0;28.0;6.0;2.0;300.0
6;"Cauliflower Rice";"Birds Eye; About 3.5 servings per container";"2/3 cup cooked";25.0;4.0;2.0;0.0;0.0
7;"Long Grain Rice";"Great Value";"1/4 cup dry";160.0;36.0;3.0;0.0;0.0
8;"Couscous";"Rice Select";"1/4 cup dry";200.0;41.0;7.0;0.5;0.0
9;"Quinoa";"White - Great Value";"1/4 cup dry";170.0;29.0;6.0;2.5;0.0
10;"Triscuits";"Balsamic Vinegar and Basil";"6 crackers (28 g)";120.0;20.0;3.0;3.5;120.0
11;"Apple";"Medium";"1 medium";95.0;25.0;0.5;0.3;2.0
12;"Asparagus";"medium";"1 spear";3.0;0.6;0.4;0.0;0.3
13;"Blueberries";"Fresh Blueberries";"1 cup";85.0;21.0;1.1;0.5;1.0
14;"Banana";"Medium";"1 medium";105.0;27.0;1.3;0.4;1.0
15;"Clementines";"Cuties";"2 clementines";90.0;22.0;1.0;0.5;0.0
16;"Dried Cranberries";"";"1/4 cup (40 g)";140.0;34.0;0.0;0.0;0.0
17;"Carrot";"Large";"1 large (78g/2.75oz)";30.0;7.0;1.0;0.0;60.0
18;"Corn";"1 can; No Salt Added; Great Value";"1/2 cup";60.0;13.0;1.0;1.0;10.0
19;"Frozen Corn";"Great Value - 2 lb";"2/3 cup (90 g)";80.0;16.0;2.0;1.0;0.0
20;"Cilantro";"16 grams";"1 cup";4.0;0.6;0.3;0.1;0.0
21;"Cucumber";"Large";"1 large";34.0;6.0;1.6;0.4;6.0
22;"Grapes";"1 cup";"1 cup";104.0;27.0;1.0;0.2;3.0
23;"Lemon Juice";"ReaLemon";"1 tsp.";0.0;0.0;0.0;0.0;0.0
24;"Lime Juice";"ReaLime";"1 tsp.";0.0;0.0;0.0;0.0;0.0
25;"Portobello Mushroom";"large cap";"1 large cap";22.0;4.0;2.0;0.0;9.0
26;"Radish";"100 g";"100 g";16.0;3.4;0.7;0.1;39.0
27;"Red Bell Pepper";"medium";"1 medium";32.0;7.6;1.0;0.2;4.0
28;"Green Bell Pepper";"medium";"1 medium";32.0;7.6;1.0;0.2;4.0
29;"Jalapeno Peppers";"Mezzetta - Jarred";"1/4 cup (30 g)";5.0;1.0;0.0;0.0;380.0
30;"Red Onion";"Chopped";"1 cup";67.0;16.18;1.47;0.13;5.0
31;"Romaine Lettuce";"Chopped";"1 cup";8.0;1.6;0.0;0.1;4.0
32;"Yellow Onion";"Chopped";"1 cup";64.0;14.9;1.8;0.2;6.4
33;"Roma Tomato";"medium";"1 medium";18.0;3.5;0.5;0.3;3.0
34;"Baked Potato";"large; baked, flesh, and skin";"1 large (300 g)";279.0;63.2;7.5;0.4;30.0
35;"Sugar Snap Peas";"Walmart Organic";"3 oz.";35.0;6.0;2.0;0.0;0.0
36;"Sweet Potatoe";"Large; Baked";"1 large";167.0;37.3;4.0;0.2;0.0
37;"Spinach";"Raw";"1 cup";7.0;1.1;0.9;0.1;23.7
38;"Frozen Strawberries";"Great Value";"1 cup";50.0;13.0;1.0;0.0;0.0
39;"Peaches";"Frozen";"100 g";39.0;10.0;0.9;0.3;0.0
40;"Honey";"Organic Raw - Kirkland/Great Value";"1 Tbsp";60.0;17.0;0.0;0.0;0.0
41;"Ketchup";"Great Value";"1 Tbsp";20.0;5.0;0.0;0.0;160.0
42;"Mustard";"Heinz and Great Value";"1 Tbsp";0.0;0.0;0.0;0.0;60.0
43;"Jalapeno Honey Mustard";"Tagge's Famous Fruit and Veggie Farms";"1 Tbsp";15.0;3.0;0.0;0.0;120.0
44;"Celery";"1 medium stalk";"1 medium";6.0;1.2;0.3;0.1;32.0
45;"Broccoli";"Steamed";"1 cup";31.0;6.0;2.6;0.3;30.0
46;"Frozen Broccoli";"Frozen - Birds Eye'";"1 1/3 cup";30.0;4.0;1.0;0.0;0.0
47;"Diced Green Chiles";"Ortega; Mild; 7 oz.";"2 tbsp";10.0;2.0;1.0;0.0;120.0
48;"Minced Garlic";"Spice World; Preminced; 1/2 tsp approx. 1 clove fresh";"1 tsp";5.0;1.0;0.0;0.0;0.0
49;"Green Chile Enchilada Sauce";"Old El Paso - Mild";"1/4 cup";25.0;4.0;0.0;1.5;280.0
50;"BBQ Sauce";"Sweet Baby Rays - Honey Barbecue";"2 Tbsp";70.0;17.0;0.0;0.0;300.0
51;"Mini Dark Chocolate Chips";"";"1/4 cup";280.0;36.0;2.0;18.0;0.0
52;"Dark Chocolate Chips";"Nestle";"1 Tbsp (14 g)";80.0;8.0;1.0;5.0;0.0
53;"Reduced Fat Wheat Thins";"";"16 crackers (29 g)";120.0;22.0;2.0;3.5;200.0
54;"Crystal Light";"Water bottle packet";"1 packet";10.0;3.0;0.0;0.0;0.0
55;"Lunchmeat";"Cracked Black Pepper Turkey Breast - Oscar Mayer";"2 oz.";50.0;2.0;9.0;1.0;500.0
56;"Low Sodium Lunchmeat";"Kretschmar's Turkey";"2 oz.";60.0;0.0;13.0;1.0;240.0
